Source,Target,weight
1868,837,0.5529999999999999
2135,837,0.255
1868,1367,0.32899999999999996
1367,1367,0.382
581,1367,0.185
951,1367,0.047
104,1367,0.045
126,1367,0.023
1868,2099,0.27399999999999997
581,2099,0.152
993,2099,0.10099999999999999
167,2099,0.149
1868,171,0.253
1868,1883,0.235
2,1883,0.034
1302,1883,0.128
8,1883,0.024
16,1883,0.019
18,1883,0.019
23,1883,0.017
1790,1883,0.024
38,1883,0.025
41,1883,0.025
1656,1883,0.047
264,1883,0.025
819,1883,0.039
88,1883,0.019
1657,1883,0.013000000000000001
110,1883,0.047
130,1883,0.155
144,1883,0.036000000000000004
154,1883,0.013000000000000001
157,1883,0.113
1868,2197,0.213
10,2197,0.009000000000000001
12,2197,0.011000000000000001
32,2197,0.019
44,2197,0.013000000000000001
1081,2197,0.478
264,2197,0.009000000000000001
53,2197,0.013000000000000001
55,2197,0.073
85,2197,0.025
94,2197,0.045
100,2197,0.019
109,2197,0.013000000000000001
2112,2197,0.016
115,2197,0.02
149,2197,0.021
156,2197,0.02
159,2197,0.016
1234,2197,0.17600000000000002
1868,1868,0.19899999999999998
1367,1868,0.32899999999999996
21,1868,0.024
37,1868,0.036000000000000004
41,1868,0.032
66,1868,0.013000000000000001
127,1868,0.049
150,1868,0.021
154,1868,0.016
1864,1868,0.03
1868,1140,0.196
104,1140,0.071
1868,1143,0.192
1367,1143,0.28600000000000003
1081,1143,0.114
55,1143,0.08900000000000001
104,1143,0.048
1868,1191,0.188
1367,1191,0.209
1,1191,0.035
70,1191,0.025
91,1191,0.035
1235,1191,0.409
1367,243,0.3
581,243,0.253
988,243,0.14
1367,175,0.267
581,175,0.28600000000000003
1367,1745,0.257
1081,1745,0.5329999999999999
55,1745,0.048
148,1745,0.025
1367,174,0.225
581,174,0.449
1367,1814,0.19399999999999998
1436,1814,0.153
126,1814,0.08199999999999999
139,1814,0.031
154,1814,0.040999999999999995
1367,581,0.185
1682,581,0.251
1,172,0.33299999999999996
1,173,0.133
1,2050,0.08900000000000001
404,2050,0.042
39,2050,0.08900000000000001
1656,2050,0.11800000000000001
60,2050,0.11800000000000001
1509,2050,0.13
94,2050,0.034
1564,2050,0.086
2051,2050,0.755
1258,2050,0.121
163,2050,0.125
1,2051,0.068
402,2051,0.146
1737,2051,0.162
39,2051,0.136
1656,2051,0.136
60,2051,0.068
1509,2051,0.133
686,2051,0.102
1564,2051,0.1
2051,2051,0.5489999999999999
157,2051,0.034
163,2051,0.096
1,2057,0.057
2059,2057,0.111
18,2057,0.031
1303,2057,0.027000000000000003
60,2057,0.057
64,2057,0.03
68,2057,0.022000000000000002
81,2057,0.023
2184,2057,0.036000000000000004
2057,2057,0.132
1,2052,0.04
39,2052,0.079
1656,2052,0.079
1081,2052,0.475
60,2052,0.04
83,2052,0.04
2051,2052,0.461
163,2052,0.055999999999999994
581,1682,0.251
582,1682,0.244
1178,1682,0.158
581,1356,0.162
1022,1356,0.39399999999999996
480,1356,0.21100000000000002
1522,1356,0.299
124,1356,0.18600000000000003
581,930,0.127
1682,930,0.369
1678,930,0.19699999999999998
581,844,0.127
988,844,0.5529999999999999
620,844,0.324
581,1215,0.11599999999999999
1682,1215,0.377
2038,1215,0.209
3,2199,0.016
1302,2199,0.153
6,2199,0.016
209,2199,0.006
8,2199,0.01
10,2199,0.022000000000000002
1972,2199,0.488
23,2199,0.011000000000000001
1590,2199,0.094
24,2199,0.022000000000000002
32,2199,0.022000000000000002
43,2199,0.01
1081,2199,0.38299999999999995
53,2199,0.01
55,2199,0.063
747,2199,0.132
1051,2199,0.032
2109,2199,0.01
2135,2199,0.48100000000000004
79,2199,0.021
85,2199,0.006
89,2199,0.006
91,2199,0.01
94,2199,0.033
100,2199,0.015
112,2199,0.015
2112,2199,0.021
115,2199,0.016
122,2199,0.011000000000000001
137,2199,0.006999999999999999
138,2199,0.005
146,2199,0.01
149,2199,0.008
150,2199,0.006999999999999999
1623,2199,0.128
156,2199,0.016
168,2199,0.006
2193,2199,0.133
1234,2199,0.145
1302,1208,0.35600000000000004
37,1208,0.109
69,1208,0.063
108,1208,0.055999999999999994
1302,1302,0.34299999999999997
4,1302,0.042
37,1302,0.051
1851,1302,0.042
108,1302,0.053
2112,1302,0.051
1302,176,0.163
1302,424,0.155
426,424,0.046
1302,1867,0.152
4,1867,0.049
5,1867,0.06
8,1867,0.049
15,1867,0.062
1865,1867,0.04
1303,1867,0.034
2135,1867,0.382
89,1867,0.031
1007,1867,0.04
2045,1867,0.052000000000000005
436,1867,0.185
127,1867,0.069
131,1867,0.04
180,1867,0.10400000000000001
1864,1867,0.073
1302,2135,0.14
8,2135,0.02
10,2135,0.013999999999999999
1972,2135,0.145
21,2135,0.049
22,2135,0.02
23,2135,0.021
31,2135,0.012
66,2135,0.017
1069,2135,0.02
76,2135,0.027999999999999997
2135,2135,0.821
78,2135,0.013999999999999999
94,2135,0.057
742,2135,0.017
99,2135,0.021
2112,2135,0.016
2045,2135,0.021
131,2135,0.016
829,2135,0.191
665,2135,0.021
2137,2135,0.13
1302,1744,0.126
2128,1744,0.149
21,1744,0.02
1790,1744,0.037000000000000005
50,1744,0.023
2004,1744,0.043
69,1744,0.017
131,1744,0.02
148,1744,0.025
1302,191,0.12300000000000001
4,191,0.14800000000000002
906,1946,0.34299999999999997
1633,1946,0.205
59,1946,0.18899999999999997
185,1946,0.149
990,1946,0.301
104,1946,0.071
1971,1946,0.636
906,907,0.327
1633,907,0.177
792,907,0.18100000000000002
185,907,0.13
906,1633,0.299
185,1633,0.209
1636,1633,0.233
906,1635,0.244
1633,1635,0.598
1763,1635,0.332
185,1635,0.183
1636,1635,0.187
906,295,0.24100000000000002
1607,295,0.243
906,1948,0.237
1633,1948,0.14300000000000002
185,1948,0.21899999999999997
1971,1948,0.375
906,1185,0.21600000000000003
295,1185,0.894
651,1185,0.172
906,1971,0.215
1633,1971,0.161
185,1971,0.18600000000000003
126,1971,0.022000000000000002
1636,1971,0.218
1971,1971,0.361
162,1971,0.034
906,299,0.191
295,299,0.7909999999999999
1607,299,0.192
906,2014,0.191
295,2014,0.7909999999999999
514,2014,0.354
613,2014,0.612
1748,1074,0.42
98,1074,0.16
1748,799,0.254
1614,799,0.055
71,799,0.096
1748,1967,0.205
1614,1967,0.087
31,1967,0.068
2185,1967,0.121
98,1967,0.47
103,1967,0.057999999999999996
1130,1967,0.255
160,1967,0.09699999999999999
162,1967,0.08800000000000001
1748,177,0.171
1748,178,0.162
1748,179,0.154
1748,180,0.153
1748,181,0.135
1748,182,0.132
1748,849,0.11800000000000001
1053,849,0.42200000000000004
1063,1059,0.816
397,1059,0.272
1063,183,0.47100000000000003
1063,184,0.348
1063,397,0.222
1058,397,0.843
1063,900,0.159
1386,900,0.069
84,900,0.083
1063,1331,0.087
1436,1331,0.141
120,1331,0.091
121,1331,0.113
1063,1754,0.083
150,1754,0.07200000000000001
1063,1519,0.07200000000000001
2023,1519,0.08800000000000001
41,1519,0.062
1803,1519,0.055999999999999994
1026,1519,0.13699999999999998
1063,2206,0.018000000000000002
209,2206,0.048
27,2206,0.016
458,2206,0.018000000000000002
1391,2206,0.026000000000000002
2004,2206,0.045
66,2206,0.013999999999999999
85,2206,0.013999999999999999
87,2206,0.022000000000000002
99,2206,0.024
108,2206,0.035
153,2206,0.032
2151,2206,0.055
1234,2206,0.085
1063,2207,0.017
28,2207,0.017
30,2207,0.028999999999999998
35,2207,0.013999999999999999
1119,2207,0.17600000000000002
43,2207,0.02
1159,2207,0.040999999999999995
87,2207,0.02
89,2207,0.026000000000000002
94,2207,0.018000000000000002
742,2207,0.012
1262,2207,0.027000000000000003
126,2207,0.033
146,2207,0.02
156,2207,0.02
158,2207,0.013999999999999999
2193,2207,0.217
170,2207,0.028999999999999998
1633,906,0.299
295,906,0.24100000000000002
185,906,0.18600000000000003
1633,1056,0.26
1639,1056,0.17300000000000001
1638,1056,0.182
1633,1636,0.233
4,1636,0.081
1639,1636,0.146
93,1636,0.053
1091,1636,0.054000000000000006
1636,1636,0.179
1633,185,0.209
1633,1632,0.207
209,1632,0.027000000000000003
1639,1632,0.10400000000000001
1636,1632,0.27
951,950,0.295
48,950,0.191
1524,950,0.324
951,1524,0.247
108,1524,0.098
139,1524,0.063
951,186,0.17600000000000002
951,1698,0.166
566,1698,0.128
48,1698,0.107
792,1698,0.196
1691,1698,0.159
1524,1698,0.268
894,1698,0.121
951,1096,0.11
11,1096,0.07
1590,1096,0.105
360,1096,0.16399999999999998
71,1096,0.048
1436,1096,0.142
951,1241,0.079
110,1241,0.07400000000000001
951,187,0.067
951,1072,0.057
1069,1072,0.054000000000000006
742,1072,0.031
951,1313,0.055
31,1313,0.065
2184,1313,0.033
117,1313,0.039
566,362,0.527
345,362,0.115
566,1150,0.446
105,1150,0.096
566,361,0.287
345,361,0.168
566,188,0.21
566,1455,0.209
345,1455,0.365
446,1455,0.204
566,958,0.19699999999999998
189,958,0.132
1625,958,0.16399999999999998
566,1397,0.11699999999999999
1391,1397,0.184
571,1397,0.13
566,189,0.113
566,190,0.10099999999999999
4,2167,0.452
71,2167,0.213
1398,2167,0.107
4,1597,0.34
46,1597,0.127
1543,1597,0.124
4,323,0.233
11,323,0.142
295,323,0.327
709,323,0.111
4,966,0.14300000000000002
11,966,0.172
21,966,0.057999999999999996
23,966,0.051
591,966,0.107
1851,966,0.036000000000000004
4,1816,0.102
37,1816,0.071
1962,1816,0.205
68,1816,0.033
1786,1816,0.239
292,1816,0.21
154,1816,0.031
4,1834,0.047
209,1834,0.018000000000000002
21,1834,0.025
66,1834,0.013000000000000001
2109,1834,0.047
71,1834,0.037000000000000005
106,1834,0.031
115,1834,0.031
142,1834,0.022000000000000002
156,1834,0.031
1583,1582,0.935
1218,1582,0.419
1216,1582,0.5539999999999999
1013,1582,0.18600000000000003
1622,1582,0.442
2082,1582,0.38799999999999996
1583,1585,0.8009999999999999
1218,1585,0.376
1216,1585,0.498
788,1585,0.32799999999999996
577,1585,0.218
1622,1585,0.397
2082,1585,0.349
1583,1584,0.792
1218,1584,0.392
1216,1584,0.518
1622,1584,0.413
1619,1584,0.7609999999999999
2082,1584,0.363
1583,1216,0.518
2162,1216,0.179
1218,1216,0.256
1619,1216,0.498
1583,1253,0.502
1216,1253,0.297
788,1253,0.239
2008,1253,0.207
1583,1620,0.493
2162,1620,0.204
1218,1620,0.257
266,1620,0.091
1216,1620,0.45799999999999996
1622,1620,0.33799999999999997
1619,1620,0.498
1798,1620,0.397
1583,2006,0.49200000000000005
788,2006,0.192
1258,2006,0.157
1583,501,0.474
788,501,0.204
1583,586,0.457
788,586,0.19699999999999998
1902,586,0.248
1583,1217,0.413
2023,1217,0.151
21,1217,0.12300000000000001
1619,1217,0.397
1614,1129,0.242
103,1129,0.161
1614,192,0.228
1614,193,0.192
1614,194,0.145
1614,1509,0.135
687,1509,0.17300000000000001
1509,1509,0.19
93,1509,0.10300000000000001
110,1509,0.126
686,1509,0.22
1614,195,0.12
